,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
22,dream theater,distant memories - live in london (bonus track edition),2,1hhnlxqqzkn962hj6xszpn,"a nightmare to remember - live at hammersmith apollo, london, uk, 2020",spotify:track:1hhnlxqqzkn962hj6xszpn,9.1e-05,0.257,0.964,0.0753,0.609,-6.921,0.238,136.444,0.0897,19
23,dream theater,distant memories - live in london (bonus track edition),3,7kah4mzfyggthyrq7jw9ox,"fall into the light - live at hammersmith apollo, london, uk, 2020",spotify:track:7kah4mzfyggthyrq7jw9ox,0.000333,0.21,0.972,0.153,0.973,-6.503,0.283,171.961,0.157,16
24,dream theater,distant memories - live in london (bonus track edition),4,6plyn55etl93ydh5znywqs,"barstool warrior - live at hammersmith apollo, london, uk, 2020",spotify:track:6plyn55etl93ydh5znywqs,0.000518,0.394,0.945,0.00615,0.972,-6.379,0.0911,155.978,0.221,16
25,dream theater,distant memories - live in london (bonus track edition),5,071mhnynqu3yuxeudk03ul,"in the presence of enemies - part 1 - live at hammersmith apollo, london, uk, 2020",spotify:track:071mhnynqu3yuxeudk03ul,0.000317,0.172,0.952,0.0952,0.427,-6.449,0.218,186.27,0.171,16
26,dream theater,distant memories - live in london (bonus track edition),6,0i1djw20oj8f6xarswqfzi,"pale blue dot - live at hammersmith apollo, london, uk, 2020",spotify:track:0i1djw20oj8f6xarswqfzi,0.000177,0.357,0.941,0.0506,0.983,-7.19,0.186,143.978,0.0825,16
27,dream theater,distant memories - live in london (bonus track edition),1,2sjwsworaws721mfd73udt,"scenes live intro - live at hammersmith apollo, london, uk, 2020",spotify:track:2sjwsworaws721mfd73udt,0.91,0.441,0.439,0.891,0.96,-15.644,0.0437,79.484,0.496,14
28,dream theater,distant memories - live in london (bonus track edition),2,6erj602aggfayv5mowl8tw,"scene one: regression - live at hammersmith apollo, london, uk, 2020",spotify:track:6erj602aggfayv5mowl8tw,0.694,0.445,0.394,0.0,0.459,-15.114,0.0581,110.381,0.505,14
29,dream theater,distant memories - live in london (bonus track edition),3,0aeyiaflkityniwg7a38f8,"scene two: i. overture 1928 - live at hammersmith apollo, london, uk, 2020",spotify:track:0aeyiaflkityniwg7a38f8,0.00017,0.497,0.953,0.894,0.0695,-6.523,0.114,111.325,0.305,15
30,dream theater,distant memories - live in london (bonus track edition),4,6flrgdjjk6jwn7kmgzwa9w,"scene two: ii. strange deja vu - live at hammersmith apollo, london, uk, 2020",spotify:track:6flrgdjjk6jwn7kmgzwa9w,0.000432,0.292,0.977,1.7e-05,0.432,-5.61,0.126,111.063,0.229,16
31,dream theater,distant memories - live in london (bonus track edition),5,4isrzvgifzydfxjozugzuw,"scene three: i. through my words - live at hammersmith apollo, london, uk, 2020",spotify:track:4isrzvgifzydfxjozugzuw,0.886,0.52,0.255,8.08e-06,0.159,-14.991,0.0283,108.24,0.11,14
32,dream theater,distant memories - live in london (bonus track edition),6,4ufrbwmkdgtb6mdozmxumr,"scene three: ii. fatal tragedy - live at hammersmith apollo, london, uk, 2020",spotify:track:4ufrbwmkdgtb6mdozmxumr,0.000336,0.491,0.979,0.0581,0.668,-6.261,0.16,139.951,0.13,15
33,dream theater,distant memories - live in london (bonus track edition),7,2gs0kmoio3spa7x6h37ftb,"scene four: beyond this life - live at hammersmith apollo, london, uk, 2020",spotify:track:2gs0kmoio3spa7x6h37ftb,0.000183,0.292,0.979,0.26,0.809,-6.43,0.202,102.352,0.137,14
34,dream theater,distant memories - live in london (bonus track edition),8,0o5oz6iypun3rpyr9e1wsv,"scene five: through her eyes - live at hammersmith apollo, london, uk, 2020",spotify:track:0o5oz6iypun3rpyr9e1wsv,0.229,0.532,0.4,0.000134,0.891,-11.535,0.0276,113.989,0.191,14
35,dream theater,distant memories - live in london (bonus track edition),1,1donmaiuknryhyu7lvcjzq,"scene six: home - live at hammersmith apollo, london, uk, 2020",spotify:track:1donmaiuknryhyu7lvcjzq,0.000726,0.227,0.965,0.00235,0.79,-6.369,0.17,91.302,0.159,14
36,dream theater,distant memories - live in london (bonus track edition),2,1tclis1imtf6ituk7isfrs,"scene seven: i. the dance of eternity - live at hammersmith apollo, london, uk, 2020",spotify:track:1tclis1imtf6ituk7isfrs,0.000101,0.267,0.974,0.884,0.276,-7.293,0.101,118.937,0.299,14
37,dream theater,distant memories - live in london (bonus track edition),3,3td5hxogrgsvsp19uhj51p,"scene seven: ii. one last time - live at hammersmith apollo, london, uk, 2020",spotify:track:3td5hxogrgsvsp19uhj51p,0.00223,0.335,0.875,3.98e-05,0.6,-6.48,0.0495,108.245,0.31,12
38,dream theater,distant memories - live in london (bonus track edition),4,0k1lnwlmq2mvjac0a32xqz,"scene eight: the spirit carries on - live at hammersmith apollo, london, uk, 2020",spotify:track:0k1lnwlmq2mvjac0a32xqz,0.0194,0.452,0.813,0.00138,0.532,-7.095,0.0561,126.947,0.219,14
39,dream theater,distant memories - live in london (bonus track edition),5,6uk0riy5u7v4dt6i4juqdr,"scene nine: finally free - live at hammersmith apollo, london, uk, 2020",spotify:track:6uk0riy5u7v4dt6i4juqdr,0.00393,0.233,0.88,0.0196,0.825,-7.705,0.14,82.655,0.223,13
40,dream theater,distant memories - live in london (bonus track edition),6,4rhby1njvcra9th6bowtym,"at wit's end - live at hammersmith apollo, london, uk, 2020",spotify:track:4rhby1njvcra9th6bowtym,0.0007,0.421,0.94,0.00437,0.97,-6.305,0.137,148.018,0.241,13
41,dream theater,distant memories - live in london (bonus track edition),7,2mhvih8ymfibpzkkkvq8m9,"paralyzed - live at hammersmith apollo, london, uk, 2020",spotify:track:2mhvih8ymfibpzkkkvq8m9,0.000483,0.412,0.978,0.000386,0.974,-6.213,0.197,164.068,0.287,11
42,dream theater,distance over time (bonus track version),1,4ofi9goazunwcwvdspycyx,untethered angel,spotify:track:4ofi9goazunwcwvdspycyx,3.98e-05,0.221,0.944,0.0164,0.0926,-5.337,0.34,88.719,0.248,43
43,dream theater,distance over time (bonus track version),2,7dclx6ec3qcww9cz38dj8o,paralyzed,spotify:track:7dclx6ec3qcww9cz38dj8o,8.84e-05,0.465,0.936,0.000328,0.0661,-5.05,0.138,82.006,0.461,44
44,dream theater,distance over time (bonus track version),3,02yxytdpkzfyhahmjioek9,fall into the light,spotify:track:02yxytdpkzfyhahmjioek9,3.93e-05,0.27,0.96,0.0499,0.407,-5.563,0.187,134.162,0.155,41
45,dream theater,distance over time (bonus track version),4,3dqhtmvxm44ctqoiovpp8w,barstool warrior,spotify:track:3dqhtmvxm44ctqoiovpp8w,0.0031,0.344,0.946,0.000137,0.381,-4.448,0.213,156.106,0.251,41
46,dream theater,distance over time (bonus track version),5,5alscmg72zgg4tegxbtlqi,room 137,spotify:track:5alscmg72zgg4tegxbtlqi,9.43e-06,0.242,0.942,0.0583,0.0794,-5.017,0.203,137.018,0.321,35
47,dream theater,distance over time (bonus track version),6,4krp5u0imdfaagvgwkfwqn,s2n,spotify:track:4krp5u0imdfaagvgwkfwqn,3.04e-05,0.238,0.946,0.00118,0.238,-5.042,0.234,138.21,0.375,36
48,dream theater,distance over time (bonus track version),7,1eoheohapa5eulcqhbo2ff,at wit's end,spotify:track:1eoheohapa5eulcqhbo2ff,0.00108,0.382,0.963,0.00405,0.333,-6.364,0.255,147.944,0.0995,39
49,dream theater,distance over time (bonus track version),8,0xxjyrl6z8btyy7ebbwozi,out of reach,spotify:track:0xxjyrl6z8btyy7ebbwozi,0.0508,0.422,0.501,0.000562,0.153,-8.038,0.0263,138.873,0.136,36
50,dream theater,distance over time (bonus track version),9,7u5kojinfeeklkwninfyza,pale blue dot,spotify:track:7u5kojinfeeklkwninfyza,0.00137,0.35,0.951,0.00775,0.207,-5.838,0.407,143.902,0.123,37
